# SNIa relative magnitude posterior from GP 
#  redshifts : 0.295, 0.311, 0.35, 0.44, 0.57, 0.6, 0.73, 0.745, 2.34 
# 
#        d1               d2               d3               d4               d5               d6               d7               d8               d9
   2.1560815e+01    2.1689412e+01    2.2044157e+01    2.2559913e+01    2.3265217e+01    2.3403690e+01    2.3929488e+01    2.3985059e+01    2.6983487e+01
   2.1575078e+01    2.1696768e+01    2.2059316e+01    2.2610654e+01    2.3279647e+01    2.3460718e+01    2.3884414e+01    2.3990199e+01    2.6940806e+01
   2.1610333e+01    2.1668348e+01    2.2019207e+01    2.2583441e+01    2.3258417e+01    2.3372257e+01    2.3924715e+01    2.3995694e+01    2.6774521e+01
   2.1539404e+01    2.1703254e+01    2.1937526e+01    2.2647187e+01    2.3261474e+01    2.3407267e+01    2.3971924e+01    2.3962887e+01    2.6907441e+01
   2.1543712e+01    2.1707861e+01    2.1996388e+01    2.2582309e+01    2.3265866e+01    2.3450615e+01    2.3848979e+01    2.3996493e+01    2.6848419e+01
   2.1554752e+01    2.1717296e+01    2.1977630e+01    2.2562012e+01    2.3251939e+01    2.3378875e+01    2.3956066e+01    2.3968066e+01    2.6718190e+01
   2.1564962e+01    2.1723114e+01    2.1962474e+01    2.2592786e+01    2.3319172e+01    2.3363350e+01    2.3912350e+01    2.4008422e+01    2.6885363e+01
   2.1615817e+01    2.1684410e+01    2.2011613e+01    2.2519096e+01    2.3307057e+01    2.3424162e+01    2.3908199e+01    2.3907597e+01    2.6774130e+01
   2.1569603e+01    2.1686419e+01    2.1964661e+01    2.2598715e+01    2.3238835e+01    2.3357285e+01    2.3867161e+01    2.3932322e+01    2.6884937e+01
   2.1597496e+01    2.1690787e+01    2.1958288e+01    2.2556566e+01    2.3289733e+01    2.3364171e+01    2.3883431e+01    2.3958223e+01    2.6824648e+01
   2.1589959e+01    2.1739239e+01    2.1997323e+01    2.2611568e+01    2.3253035e+01    2.3447354e+01    2.3956570e+01    2.3906909e+01    2.6936173e+01
   2.1556756e+01    2.1682302e+01    2.2043759e+01    2.2606601e+01    2.3277994e+01    2.3373686e+01    2.3906149e+01    2.3945292e+01    2.6842020e+01
   2.1488267e+01    2.1738686e+01    2.2026717e+01    2.2659442e+01    2.3231779e+01    2.3445657e+01    2.3970622e+01    2.3943497e+01    2.6808347e+01
   2.1613602e+01    2.1653423e+01    2.1949230e+01    2.2589271e+01    2.3240424e+01    2.3396553e+01    2.3876718e+01    2.3975959e+01    2.6990560e+01
   2.1603664e+01    2.1745498e+01    2.2009396e+01    2.2513441e+01    2.3292330e+01    2.3393335e+01    2.3886673e+01    2.3941948e+01    2.6716662e+01
   2.1555912e+01    2.1783631e+01    2.2003027e+01    2.2611514e+01    2.3213875e+01    2.3365413e+01    2.3942760e+01    2.3970042e+01    2.6813699e+01
   2.1583195e+01    2.1668298e+01    2.1971442e+01    2.2554790e+01    2.3238705e+01    2.3412809e+01    2.3996336e+01    2.3988249e+01    2.6882118e+01
   2.1552543e+01    2.1784187e+01    2.1970587e+01    2.2669999e+01    2.3285475e+01    2.3416492e+01    2.3941818e+01    2.3980267e+01    2.6953292e+01
   2.1514323e+01    2.1717643e+01    2.1975701e+01    2.2552446e+01    2.3271913e+01    2.3415263e+01    2.3962959e+01    2.3988411e+01    2.6831109e+01
   2.1480145e+01    2.1691876e+01    2.2033661e+01    2.2613889e+01    2.3236618e+01    2.3410192e+01    2.3941731e+01    2.3992333e+01    2.6802852e+01
   2.1556082e+01    2.1678815e+01    2.2006970e+01    2.2614102e+01    2.3245077e+01    2.3359044e+01    2.3885217e+01    2.4015775e+01    2.6768731e+01
   2.1532189e+01    2.1662340e+01    2.1992908e+01    2.2568363e+01    2.3303729e+01    2.3460870e+01    2.3956968e+01    2.4021935e+01    2.6840103e+01
   2.1495546e+01    2.1706065e+01    2.1972645e+01    2.2588703e+01    2.3277311e+01    2.3391898e+01    2.3919742e+01    2.3962177e+01    2.6865682e+01
   2.1585910e+01    2.1712063e+01    2.2008409e+01    2.2606880e+01    2.3268572e+01    2.3379371e+01    2.3948333e+01    2.3949302e+01    2.6807384e+01
   2.1540524e+01    2.1692618e+01    2.1979154e+01    2.2598627e+01    2.3301804e+01    2.3387057e+01    2.3977054e+01    2.3951968e+01    2.6890035e+01
   2.1644339e+01    2.1698850e+01    2.1997759e+01    2.2604755e+01    2.3226812e+01    2.3382626e+01    2.3931893e+01    2.3995612e+01    2.6855083e+01
