# SLTD+BAO Angular distance posterior from GP 
#  redshifts : 0.35, 0.44, 0.57, 0.6, 0.73, 2.34 
# 
#        d1               d2               d3               d4               d5               d6               d7               d8               d9
   9.6539614e+02    9.9086747e+02    1.0569750e+03    1.1948911e+03    1.3629690e+03    1.3782025e+03    1.4949296e+03    1.5149294e+03    1.5766546e+03
   9.7098931e+02    9.8364304e+02    1.0705386e+03    1.2321379e+03    1.3967656e+03    1.4079086e+03    1.5270607e+03    1.5573523e+03    1.5669841e+03
   9.0613982e+02    9.2849021e+02    1.0342327e+03    1.1871244e+03    1.3532396e+03    1.3980381e+03    1.5069370e+03    1.4944906e+03    1.6545813e+03
   1.0120900e+03    1.0418582e+03    1.1064988e+03    1.2273759e+03    1.3458472e+03    1.4049214e+03    1.4679031e+03    1.4756760e+03    1.7245014e+03
   9.5283962e+02    9.9898440e+02    1.0729294e+03    1.2170325e+03    1.4025830e+03    1.4195813e+03    1.5816045e+03    1.5561715e+03    1.5646112e+03
   8.4827425e+02    8.9354527e+02    9.8266422e+02    1.1859419e+03    1.3949577e+03    1.4777491e+03    1.5761885e+03    1.6100502e+03    1.6001540e+03
   8.9499638e+02    9.4135478e+02    1.0230650e+03    1.2020505e+03    1.3605450e+03    1.3918566e+03    1.4858688e+03    1.4863184e+03    1.6267828e+03
   9.1132293e+02    9.4871855e+02    1.0263929e+03    1.2146911e+03    1.3643954e+03    1.3946014e+03    1.4854018e+03    1.4635191e+03    1.7015408e+03
   9.9515455e+02    1.0124949e+03    1.0861994e+03    1.2023654e+03    1.3208744e+03    1.3555448e+03    1.4637189e+03    1.4526548e+03    1.5755460e+03
   9.6146058e+02    1.0097570e+03    1.0688573e+03    1.2227469e+03    1.3515354e+03    1.3349285e+03    1.4446155e+03    1.4370157e+03    1.5762898e+03
   8.9071610e+02    9.3554052e+02    1.0390298e+03    1.2354775e+03    1.4402605e+03    1.4697195e+03    1.5715469e+03    1.5802224e+03    1.6014804e+03
   9.0485990e+02    9.1375535e+02    1.0057557e+03    1.1384159e+03    1.3268484e+03    1.3689588e+03    1.4827221e+03    1.5149713e+03    1.5969545e+03
